행정동코드,시도명,시군구명,행정동명,총생활인구수
11500605,서울,강서구,가양3동,10591.36362
11500611,서울,강서구,발산1동,35481.44764
11500615,서울,강서구,우장산동,32564.2765
11500620,서울,강서구,공항동,34900.01556
11500630,서울,강서구,방화1동,32625.1396
11500640,서울,강서구,방화2동,25032.44523
11500641,서울,강서구,방화3동,17037.3531
11530510,서울,구로구,신도림동,33190.65949
11530520,서울,구로구,구로1동,16788.29272
11530530,서울,구로구,구로2동,33672.9998
11530540,서울,구로구,구로3동,40557.23304
11530550,서울,구로구,구로4동,18070.45307
11530560,서울,구로구,구로5동,32259.58261
11530595,서울,구로구,가리봉동,11370.36857
11530720,서울,구로구,고척1동,22269.61604
11530730,서울,구로구,고척2동,17099.54134
11530740,서울,구로구,개봉1동,29571.09655
11530750,서울,구로구,개봉2동,22582.56431
11530760,서울,구로구,개봉3동,16544.93299
11530770,서울,구로구,오류1동,15161.42653
11530780,서울,구로구,오류2동,51816.3206
11530790,서울,구로구,수궁동,22616.03929
11545510,서울,금천구,가산동,58961.26375
11545610,서울,금천구,독산1동,34828.36679
11545620,서울,금천구,독산2동,14332.2322
11545630,서울,금천구,독산3동,21867.95156
11545640,서울,금천구,독산4동,11450.28968
11545670,서울,금천구,시흥1동,27668.49984
11545680,서울,금천구,시흥2동,15535.69109
11545690,서울,금천구,시흥3동,10260.58181
11545700,서울,금천구,시흥4동,11719.13259
11545710,서울,금천구,시흥5동,11700.51466
11560515,서울,영등포구,영등포본동,18854.17657
11560535,서울,영등포구,영등포동,50787.02096
11560540,서울,영등포구,여의동,91438.44228
11560550,서울,영등포구,당산1동,25224.19028
11560560,서울,영등포구,당산2동,37131.86529
11560585,서울,영등포구,도림동,14400.11794
11560605,서울,영등포구,문래동,39233.87784
11560610,서울,영등포구,양평1동,18876.66749
11560620,서울,영등포구,양평2동,28637.83978
11560630,서울,영등포구,신길1동,17946.56654
11560650,서울,영등포구,신길3동,13012.35875
11560660,서울,영등포구,신길4동,7813.0105
11560670,서울,영등포구,신길5동,9471.706089
11560680,서울,영등포구,신길6동,21933.09947
11560690,서울,영등포구,신길7동,14157.4696
11560700,서울,영등포구,대림1동,16476.18317
11560710,서울,영등포구,대림2동,18705.355
11560720,서울,영등포구,대림3동,25301.3162
11590510,서울,동작구,노량진1동,36152.0606
11590520,서울,동작구,노량진2동,17951.71817
11590530,서울,동작구,상도1동,45099.77956
