node,위도,경도,범죄주의구간,인접노드,도로폭
149,37.48547,126.93525,2,148!145!150,6.0!3.5!6.0
150,37.48545,126.93562,2,149!146!151,6.0!3.0!6.0
151,37.48543,126.93587,2,150!147!152,6.0!5.5!5.6
152,37.48499,126.93575,2,151!117,5.5!42.0
153,37.4852,126.93416,4,118!117!154,18.3!18.3!2.2
154,37.48514,126.93345,4,92!97!153,6.2!6.2!2.2
155,37.48444,126.92603,4,164!156!93,3.9!16.0!17.5
156,37.48481,126.92548,5,163!155!73,5.6!14.0!15.5
157,37.48571,126.92467,3,42!73!158,6.7!8.6!9.2
158,37.48664,126.92386,3,20!157,5.0!8.2
159,37.48622,126.92684,4,46!47!160,5.6!5.6!4.4
160,37.48574,126.92693,4,51!52!159,5.2!5.2!4.7
161,37.48906,126.92491,1,16!162!8,3.6!3.1!3.6
162,37.48879,126.92489,1,161!1!2,3.0!4.4!5.3
163,37.48497,126.92572,4,135!74!156!164,4.6!5.8!5.6!4.6
164,37.48458,126.92621,6,155!78!163,3.9!3.9!4.6
165,37.48639,126.93308,1,70!68!69,4.8!4.8!4.6
166,37.48676,126.9309,5,66!67,4.8!5.0
